nombre_editor,ID_editor
Cygames,688
Brash Entertainment,689
Nickervision Studios,690
NeocoreGames,691
Epoch,692
GT Interactive,693
Core Design Ltd.,694
Mad Catz,695
System 3 Arcade Software,696
Screen 7,697
Starfish,698
Lonely Troops,699
20th Century Fox Video Games,700
LAN - GAMES EOOD,701
Mirai Shounen,702
CBS Electronics,703
MinMax Games Ltd.,704
Pony Canyon,705
Angel Studios,706
Focus Home Interactive,707
Egosoft,708
11 bit studios,709
EA Sports,710
Microsoft Studios,711
SCS Software,712
Sidhe Interactive,713
Wales Interactive Ltd.,714
Datam Polystar,715
Origin Systems,716
Piacci,717
Amanita Design,718
Invent4 Entertainment,719
Ninja Theory,720
Double Fine Productions,721
Alda Games,722
Nippon Telenet,723
Spectrum Holobyte,724
UIG Entertainment,725
Crave Entertainment,726
DotEmu,727
Magix,728
Nitro+,729
Remedy Entertainment,730
Rainbow Games,731
Greenheart Games,732
Imagineer,733
Vivid Games S.A.,734
Uppercut Games Pty Ltd,735
SCi,736
Paradox Interactive,737
Humble Bundle,738
ReadySoft,739
VU Games,740
Groove Games,741
Vir2L Studios,742
Red Hook Studios,743
Quest,744
Scholastic Inc.,745
Warner Bros. Interactive,746
Studio Wildcard,747
Frozenbyte,748
WolfgangIs,749
Treasure,750
Shin'en,751
Those Awesome Guys,752
Acquire,753
Midas Interactive Entertainment,754
Blue Byte,755
Nihon Falcom Corporation,756
Ndemic Creations,757
Mastiff,758
Activision,759
TDK Mediactive,760
Sunrise Interactive,761
Coffee Stain Studios,762
NCS,763
Zono Incorporated,764
Success,765
YuPlay,766
First Class Simulations,767
Office Create,768
IGS,769
Fox Interactive,770
Image Epoch,771
GungHo,772
Licensed 4U,773
Jetdogs Studios,774
Hamster Corporation,775
Ocean Software,776
Sony Computer Entertainment America,777
Mindscape,778
T&E Soft,779
Crate Entertainment,780
SouthPeak Games,781
Time Warner Interactive,782
"What Pumpkin Games, Inc.",783
CyberFront,784
Type-Moon,785
CharlieH,786
Siberian Digital,787
Activision Blizzard,788
Oddworld Inhabitants,789
Screenwave Media,790
Fields,791
TYO,792
Cleverweek,793
"Mossmouth, LLC",794
Evolved Games,795
Refract Studios,796
Rooster Teeth Games,797
The Behemoth,798
Epic Games,799
Image & Form Games,800
ASCII Media Works,801
Metanet Software Inc.,802
Iceberg Interactive,803
Triternion,804
Games Workshop,805
Plug In Digital,806
RedOctane,807
Disney Interactive Studios,808
XS Games,809
Culture Brain,810
W!Games,811
Moss,812
CK Games,813
Brogames,814
Giants Software,815
Blender Games,816
Take-Two Interactive,817
ThinkOfGames,818
Tulip Games,819
Working Designs,820
Cave,821
O~3 Entertainment,822
Lavaboots Studios,823
Red Mile Entertainment,824
StarSystemStudios,825
Agetec,826
Essential Games,827
UFO Interactive,828
GrabTheGames,829
Giza10,830
Phantagram,831
Coconut Island Games,832
SUPERHOT Team,833
Chubby Pixel,834
Oxygen Interactive,835
Irem Software Engineering,836
Bit Blot,837
Matt Makes Games Inc.,838
DreamCatcher Interactive,839
Bold Games,840
ANPA.US,841
Northway Games,842
Level 5,843
"mixi, Inc",844
Nordic Games,845
Data Age,846
Aquaplus,847
4-Aug,848
Terrible Posture Games LLC,849
Namco,850
Wired Productions,851
Easy Interactive,852
Adult Swim,853
Boost On,854
Valve,855
Sting,856
Vivendi Games,857
Badland Games,858
Hitbox Team,859
3 O'Clock,860
Kokopeli Digital Studios,861
Namco Bandai,862
Klei Entertainment,863
Plenty,864
Sony Computer Entertainment,865
Hip Interactive,866
Red Orb,867
GN Software,868
PlayV,869
Powerhoof Pty Ltd,870
Aterdux Entertainment,871
Ghostlight,872
Missing Link Games,873
Double Fine Presents,874
Minato Station,875
Parker Bros.,876
System Soft,877
Magical Company,878
Perpetual,879
989 Sports,880
Happinet,881
Hemisphere Games,882
id Software,883
SNK,884
Rising Star Games,885
TalonSoft,886
Flyhigh Works,887
Skybound Games,888
Black Bean Games,889
SSI,890
Square EA,891
Black Eye Games,892
Harmonix Music Systems,893
Victor Interactive,894
Two Tribes,895
Necrophone Games,896
Black Lime Studio,897
Maximum Family Games,898
Genterprise,899
HandyGames,900
Broderbund,901
BPS,902
GarageGames,903
Cyan Worlds,904
Rejet,905
Funbox Media,906
inXile Entertainment,907
Taxan,908
Media Rings,909
Seta Corporation,910
Cats Who Play,911
Butterscotch Shenanigans,912
Titus,913
Koei Tecmo,914
Ravenscourt,915
Born Ready Games,916
Black Shell Media,917
Bergsala Lightweight,918
MoaCube,919
NIS America,920
3DO,921
King Records,922
Playdead,923
Viacom,924
DTP Entertainment,925
Chucklefish,926
Spike,927
Mystique,928
KSS,929
Obsidian Entertainment,930
Ongakukan,931
Wizards of the Coast,932
Virgin Interactive,933
Victory Lap Games,934
Gaijin Entertainment,935
indiePub,936
cada,937
Abbey Games,938
Defiant Development,939
Banpresto,940
Terry Cavanagh,941
Aspyr,942
DeXP,943
Gremlin Interactive Ltd,944
Introversion Software,945
Sold Out,946
Re-Logic,947
Capcom Entertainment,948
Gakken,949
"Arcen Games, LLC",950
Marvelous Entertainment,951
Triangle Service,952
Human Entertainment,953
Matatabi,954
Almost Human,955
NCSoft,956
Bandai Namco Games,957
RED Entertainment,958
Trendy Entertainment,959
Conspiracy Entertainment,960
Assemble Entertainment,961
Telstar,962
Metro 3D,963
The Adventure Company,964
A1 Games,965
Lighthouse Interactive,966
Milestone S.r.l.,967
Visco,968
Hearty Robin,969
Kazakov Oleg,970
Trickjump Games Ltd,971
Soedesco,972
Tripwire Interactive,973
Paon,974
"Infocom, Inc.",975
Perp Games,976
Xicat Interactive,977
GMX Media,978
Bandai Namco Entertainment,979
ArtwareGames,980
PQube,981
CPG Products,982
Psygnosis,983
Sprite,984
Ascaron Entertainment,985
Nobilis,986
Teotl Studios,987
FDG Entertainment,988
Neocore Games,989
Yamasa Entertainment,990
Her Interactive,991
Sometimes You,992
WAX Publishing,993
bitComposer Games,994
Yuke's,995
Ska Studios,996
Cobra Mobile,997
EightyEightGames,998
Technos Japan Corporation,999
Frogmind,1000
Acid Wizard Studio,1001
Sierra Studios,1002
Rocket Company,1003
Pow,1004
eGames,1005
Global A Entertainment,1006
Hudson Soft,1007
Team Meat,1008
Codemasters,1009
Modulaatio Games,1010
Silver Dollar Games,1011
CD Projekt Red Studio,1012
