Desarrollador,ID_desarrollador
Psyonix Studios,1151
Island Officials,1152
Square-Enix,1153
Spellbound,1154
E-game,1155
FarSight Studios,1156
O-Games,1157
Trainwreck Studios,1158
Examu Inc.,1159
Sirius Games,1160
FreeStyleGames,1161
Aksys Games,1162
Nintendo?�R&D1,1163
Mothership Entertainment,1164
Pentavision Entertainment,1165
Flat Cat,1166
Interactive Studios Ltd.,1167
Shiro Games,1168
Razorworks Studios,1169
Studio E,1170
GameHouse,1171
Bits Studios,1172
Endemol,1173
Little Worlds Studio / Anuman Interactive,1174
iRock Interactive,1175
BiArt Studios,1176
Introversion,1177
Nuevo Retro Games / NST,1178
Nfusion,1179
Raylight Studios,1180
Nintendo,1181
Probe,1182
The Collective,1183
Rovio Mobile,1184
Limbic Software,1185
Sabarasa Entertainment,1186
Unique Development Studios,1187
DreamXCreate,1188
A.S.K. Homework,1189
Avalanche Software / Ritual Entertainment,1190
Deibus Studios,1191
ColdWood Interactive,1192
Wild Games,1193
Gremlin Interactive,1194
Spiders,1195
Team17 Digital Ltd,1196
Spicy Horse,1197
Mechanic Arms,1198
Pronto Games,1199
Nippon Amuse,1200
Crackshell,1201
Fun Com,1202
Black Shell Games,1203
Ubisoft Sao Paulo,1204
Guyzware,1205
505 Games,1206
Voxler,1207
New,1208
ZeroBit Games,1209
Synnergy Circle Games,1210
"Indi Software Co., Ltd.",1211
Owlchemy Labs,1212
Mentor Interactive,1213
Petroglyph Games,1214
TDK Core,1215
Game Life,1216
Sega Falcom,1217
Cadenza Interactive,1218
Karin Entertainment,1219
Starbreeze,1220
Panther Software,1221
PopCap Games,1222
Tecmo,1223
ParityBit,1224
David A. Palmer Productions,1225
Cosmigo,1226
Empire Interactive,1227
Mere Mortals,1228
Ancient,1229
Virtual Identity,1230
Vectordean,1231
Blue Shift,1232
K2,1233
Raster Productions,1234
Whoopee Camp,1235
Perpetual FX Creative,1236
HyperBole Studios,1237
Nintendo SDD,1238
Mind Candy,1239
Tantalus Interactive,1240
CBS Electronics,1241
Stormregion,1242
Alpha Unit,1243
11 bit studios,1244
EA Sports,1245
O Games,1246
Sproing,1247
Sega Studios Australia,1248
Wales Interactive Ltd.,1249
Alfa System,1250
Overworks,1251
Dimps Corporation,1252
Amanita Design,1253
Konami Computer Entertainment Osaka,1254
Sniper Studios,1255
Vertex,1256
Alda Games,1257
Lab Zero Games,1258
oeFun,1259
Crave Entertainment,1260
Greenheart Games,1261
Danger Productions,1262
"Hypnos Entertainment, Inc.",1263
Vivid Games S.A.,1264
MicroProse,1265
Stoic Studio,1266
Open Sesame,1267
SCi,1268
Hijinx Studios,1269
Paradox Interactive,1270
iMAGi Studios,1271
VU Games,1272
Infinity Ward,1273
Mad Doc Software,1274
Bluestone Interactive,1275
Studio Wildcard,1276
Frozenbyte,1277
Mitchell,1278
Perfect Entertainment,1279
TDK Mediactive,1280
Funcom Oslo A/S,1281
Left Field Productions,1282
Empty Clip Studios,1283
Survios,1284
Teku Studios,1285
GungHo,1286
Sandlot,1287
Ecole Software,1288
Bungie,1289
Licensed 4U,1290
343 Industries,1291
Vicious Cycle,1292
Nerve Software,1293
"What Pumpkin Games, Inc.",1294
EA Los Angeles\ Westwood Studios,1295
CyberFront,1296
